
央视,#genre#
CCTV-1综合,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv1
CCTV-2财经,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv2
CCTV-3综艺,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv3
CCTV-4国际,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv4
CCTV-5体育,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv5
CCTV-6电影,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv6
CCTV-7军事,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv7
CCTV-8电视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv8
CCTV-9纪录,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv9
CCTV-10科教,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv10
CCTV-11戏曲,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv11
CCTV-12社会,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv12
CCTV-13新闻,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv13
CCTV-14少儿,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv14
CCTV-15音乐,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv15
CCTV-5⁺体育,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv5plus
CCTV-17农业,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv17
CCTV-4K超清,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctv4k 
CGTN-国际台,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cctvnews
CETV-1教育台,http://cdn.chxjon.cn/iptv/QQ582185381/yfy.php?id=10001
CETV-4教育台,http://cdn.chxjon.cn/iptv/QQ582185381/yfy.php?id=10000




卫视,#genre#
湖南卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hunws 
浙江卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=zjws 
安徽卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=ahws
江苏卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=jsws
山东卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=sdws 
湖北卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hubws 
江西卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=jxws 
四川卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=scws 
北京卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=bjws
天津卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=tjws
河南卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=henws
东南卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=dnws
河北卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hebws
兵团卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=btws
深圳卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=szws
东方卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=dfws
广西卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=gxws 
吉林卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=jlws
辽宁卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=lnws 
广东卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=gdws
重庆卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=cqws
陕西卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=s1xws
云南卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=ynws
龙江卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=hljws 
贵州卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=gzws
甘肃卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=gsws
宁夏卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=nxws
内蒙卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=nmgws
新疆卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=xjws
西藏卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=xzws



香港,#genre#
凤凰中文,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fhwshd 
凤凰中文,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fhws 
凤凰中文,http://cdn.chxjon.cn/iptv/QQ582185381/xgfh.php?id=2
凤凰中文,http://223.110.245.136/PLTV/3/224/3221226923/index.m3u8#http://117.169.124.43:6610/ysten-businessmobile/live/fhchinese/index.m3u8#http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8
凤凰资讯,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fhzxhd 
凤凰资讯,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fhzx 
凤凰资讯,http://cdn.chxjon.cn/iptv/QQ582185381/xgfh.php?id=1
