超超直播,#genre#
央视直播,#genre#
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://125.210.152.18:9090/live/CCTV1HD_H265.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://125.210.152.18:9090/live/CCTV2HD_H265.m3u8
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3,http://125.210.152.18:9090/live/CCTV3HD_H265.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5,http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8
CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6,http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8
CCTV-7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7,http://125.210.152.18:9090/live/CCTV7HD_H265.m3u8
CCTV-8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8,http://125.210.152.18:9090/live/CCTV8HD_H265.m3u8
CCTV-9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9,http://125.210.152.18:9090/live/CCTVJLHD_H265.m3u8
CCTV-10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10,http://125.210.152.18:9090/live/CCTV10HD_H265.m3u8
CCTV-11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-11,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8
CCTV-12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12,http://125.210.152.18:9090/live/CCTV12HD_H265.m3u8
CCTV-13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13,http://125.210.152.18:9090/live/CCTV13_750.m3u8
CCTV-14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-15,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/1.m3u8
CCTV-17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226990/1.m3u8
卫视直播,#genre#
北京卫视,http://ivi.bupt.edu.cn/hls/btv1.m3u8
北京卫视,http://cctvtxyh5c.liveplay.myqcloud.com/wstv/btv1_2/index.m3u8
北京卫视,http://112.17.40.145/PLTV/88888888/224/3221226518/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/sztv.m3u8
深圳卫视,http://cctvtxyh5c.liveplay.myqcloud.com/wstv/shenzhen_2/index.m3u8
深圳卫视,http://112.17.40.145/PLTV/88888888/224/3221226524/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahtv.m3u8
安徽卫视,http://cctvtxyh5c.liveplay.myqcloud.com/wstv/anhui_2/index.m3u8
安徽卫视,http://112.17.40.145/PLTV/88888888/224/3221226611/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hntv.m3u8
河南卫视,http://cctvtxyh5c.liveplay.myqcloud.com/wstv/henan_2/index.m3u8
河南卫视,http://112.17.40.145/PLTV/88888888/224/3221226130/index.m3u8
陕西卫视,http://ivi.bupt.edu.cn/hls/sxtv.m3u8
陕西卫视,http://cctvtxyh5c.liveplay.myqcloud.com/wstv/shan3xi_2/index.m3u8
陕西卫视,http://112.17.40.145/PLTV/88888888/224/3221226177/index.m3u8
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jltv.m3u8
吉林卫视,http://cctvtxyh5c.liveplay.myqcloud.com/wstv/jilin_2/index.m3u8
吉林卫视,http://112.17.40.145/PLTV/88888888/224/3221226158/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdtv.m3u8
广东卫视,http://cctvtxyh5c.liveplay.myqcloud.com/wstv/guangdong_2/index.m3u8
广东卫视,http://112.17.40.145/PLTV/88888888/224/3221226510/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdtv.m3u8
山东卫视,http://cctvtxyh5c.liveplay.myqcloud.com/wstv/shandong_2/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbtv.m3u8
湖北卫视,http://112.17.40.145/PLTV/88888888/224/3221226512/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxtv.m3u8
广西卫视,http://cctvtxyh5c.liveplay.myqcloud.com/wstv/guangxi_2/index.m3u8
广西卫视,http://112.17.40.145/PLTV/88888888/224/3221226211/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
河北卫视,http://ivi.bupt.edu.cn/hls/hebtv.m3u8
河北卫视,http://weblive.hebtv.com/live/hbws_bq/index.m3u8
河北卫视,http://112.17.40.145/PLTV/88888888/224/3221226110/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
西藏卫视,http://ivi.bupt.edu.cn/hls/xztv.m3u8
西藏卫视,http://112.17.40.145/PLTV/88888888/224/3221226160/index.m3u8
